id,duration,startTime,endTime,type,name,status,description,epic
32,0,2023-05-02T16:20,2023-06-02T16:52,EPIC,Epic 1,NEW,desc3,
22,0,2023-01-01T00:01,2023-01-01T00:01,EPIC,Epic 1,NEW,desc3,
23,0,2023-01-01T00:01,2023-01-01T00:01,EPIC,Epic2,NEW,desc4,
41,10,2023-05-02T23:20,2023-05-02T23:30,TASK,Тест 1,NEW,описание1,
42,32,2023-09-02T16:20,2023-09-02T16:52,TASK,Тест 2,DONE,описание2,
27,0,2023-05-02T16:20,2023-06-02T16:52,EPIC,Epic 1,NEW,desc3,
43,32,2023-06-02T16:20,2023-06-02T16:52,SUBTASK,Subtask1,IN_PROGRESS,desc5,0
44,32,2023-05-02T16:20,2023-05-02T16:52,SUBTASK,Subtask2,DONE,desc6,0
30,0,2023-01-01T00:01,2023-01-01T00:01,EPIC,Epic 1,NEW,desc3,

